ROI_Image_Label,Yeo_7_Network,Yeo_17_Network,Yeo_7_Network_Sensorimotor,Yeo_7_Network_Cognitive,Yeo_7_Network_PriCognitive,Yeo_17_Network_Sensorimotor,Yeo_17_Network_Cognitive,Yeo_17_Network_PriCognitive
506,5,10,NaN,5,NaN,NaN,10,NaN
507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
508,2,4,2,NaN,NaN,4,NaN,NaN
509,4,7,NaN,4,NaN,NaN,7,NaN
510,4,7,NaN,4,NaN,NaN,7,NaN
511,1,1,1,NaN,NaN,1,NaN,NaN
512,5,9,NaN,5,NaN,NaN,9,NaN
513,7,13,NaN,7,7,NaN,13,13
514,2,3,2,NaN,NaN,3,NaN,NaN
515,6,12,NaN,6,6,NaN,12,12
516,7,16,NaN,7,7,NaN,16,16
517,2,7,2,NaN,NaN,NaN,7,NaN
518,1,1,1,NaN,NaN,1,NaN,NaN
519,2,3,2,NaN,NaN,3,NaN,NaN
520,2,3,2,NaN,NaN,3,NaN,NaN
521,1,2,1,NaN,NaN,2,NaN,NaN
522,3,6,NaN,3,3,NaN,6,6
523,2,4,2,NaN,NaN,4,NaN,NaN
524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
525,6,13,NaN,6,6,NaN,13,13
526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
527,7,16,NaN,7,7,NaN,16,16
528,1,1,1,NaN,NaN,1,NaN,NaN
529,3,6,NaN,3,3,NaN,6,6
530,6,8,NaN,6,6,NaN,8,NaN
531,7,15,NaN,7,7,NaN,15,15
532,1,5,1,NaN,NaN,NaN,5,5
533,1,1,1,NaN,NaN,1,NaN,NaN
534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
535,6,13,NaN,6,6,NaN,13,13
536,7,17,NaN,7,7,NaN,17,17
537,1,1,1,NaN,NaN,1,NaN,NaN
538,3,12,NaN,3,3,NaN,12,12
539,1,5,1,NaN,NaN,NaN,5,5
540,6,13,NaN,6,6,NaN,13,13
541,7,14,NaN,7,7,14,NaN,NaN
542,1,2,1,NaN,NaN,2,NaN,NaN
543,6,12,NaN,6,6,NaN,12,12
544,3,12,NaN,3,3,NaN,12,12
545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
546,4,7,NaN,4,NaN,NaN,7,NaN
547,7,15,NaN,7,7,NaN,15,15
